PROV265;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;x
PROV266;Obar Deathain;Obar Deathain;Obar Deathain;Obar Deathain;Obar Deathain;Obar Deathain;Obar Deathain;Obar Deathain;Obar Deathain;Obar Deathain;Obar Deathain;Obar Deathain;Obar Deathain;x
PROV269;Dún Éideann;Dún Éideann;Dún Éideann;Dún Éideann;Dún Éideann;Dún Éideann;Dún Éideann;Dún Éideann;Dún Éideann;Dún Éideann;Dún Éideann;Dún Éideann;Dún Éideann;x
PROV271;Glaschú;Glaschú;Glaschú;Glaschú;Glaschú;Glaschú;Glaschú;Glaschú;Glaschú;Glaschú;Glaschú;Glaschú;Glaschú;x
PROV273;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;x
PROV274;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;x
PROV276;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;x
PROV277;Learpholl;Learpholl;Learpholl;Learpholl;Learpholl;Learpholl;Learpholl;Learpholl;Learpholl;Learpholl;Learpholl;Learpholl;Learpholl;x
PROV278;Manchain;Manchain;Manchain;Manchain;Manchain;Manchain;Manchain;Manchain;Manchain;Manchain;Manchain;Manchain;Manchain;x
PROV280;An Caisleán;An Caisleán;An Caisleán;An Caisleán;An Caisleán;An Caisleán;An Caisleán;An Caisleán;An Caisleán;An Caisleán;An Caisleán;An Caisleán;An Caisleán;x
PROV298;Caerfaddon;Caerfaddon;Caerfaddon;Caerfaddon;Caerfaddon;Caerfaddon;Caerfaddon;Caerfaddon;Caerfaddon;Caerfaddon;Caerfaddon;Caerfaddon;Caerfaddon;x
PROV299;Aberplym;Aberplym;Aberplym;Aberplym;Aberplym;Aberplym;Aberplym;Aberplym;Aberplym;Aberplym;Aberplym;Aberplym;Aberplym;x
PROV300;Londres;Londres;Londres;Londres;Londres;Londres;Londres;Londres;Londres;Londres;Londres;Londres;Londres;x
PROV301;Cantorbéry;Cantorbéry;Cantorbéry;Cantorbéry;Cantorbéry;Cantorbéry;Cantorbéry;Cantorbéry;Cantorbéry;Cantorbéry;Cantorbéry;Cantorbéry;Cantorbéry;x
PROV349;Rääveli;Rääveli;Rääveli;Rääveli;Rääveli;Rääveli;Rääveli;Rääveli;Rääveli;Rääveli;Rääveli;Rääveli;Rääveli;x
PROV356;Väinänlinna;Väinänlinna;Väinänlinna;Väinänlinna;Väinänlinna;Väinänlinna;Väinänlinna;Väinänlinna;Väinänlinna;Väinänlinna;Väinänlinna;Väinänlinna;Väinänlinna;x
PROV366;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;x
PROV371;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;x
PROV372;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;x
PROV373;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;x
PROV390;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;x
PROV411;Nanzig;Nanzig;Nanzig;Nanzig;Nanzig;Nanzig;Nanzig;Nanzig;Nanzig;Nanzig;Nanzig;Nanzig;Nanzig;x
PROV432;Bisanz;Bisanz;Bisanz;Bisanz;Bisanz;Bisanz;Bisanz;Bisanz;Bisanz;Bisanz;Bisanz;Bisanz;Bisanz;x
PROV445;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;x
PROV454;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;x
PROV458;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;x
PROV467;Marselha;Marselha;Marselha;Marselha;Marselha;Marselha;Marselha;Marselha;Marselha;Marselha;Marselha;Marselha;Marselha;x
PROV468;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;x
PROV472;Niça;Niça;Niça;Niça;Niça;Niça;Niça;Niça;Niça;Niça;Niça;Niça;Niça;x
PROV474;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;Corunha;x
PROV489;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;x
PROV506;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;x
PROV510;Qurtubah;Qurtubah;Qurtubah;Qurtubah;Qurtubah;Qurtubah;Qurtubah;Qurtubah;Qurtubah;Qurtubah;Qurtubah;Qurtubah;Qurtubah;x
PROV512;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;x
PROV515;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;x
PROV517;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;x
PROV524;Shatûbar;Shatûbar;Shatûbar;Shatûbar;Shatûbar;Shatûbar;Shatûbar;Shatûbar;Shatûbar;Shatûbar;Shatûbar;Shatûbar;Shatûbar;x
PROV575;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;x
PROV576;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;x
PROV619;Vieden;Vieden;Vieden;Vieden;Vieden;Vieden;Vieden;Vieden;Vieden;Vieden;Vieden;Vieden;Vieden;x
PROV624;Železno;Železno;Železno;Železno;Železno;Železno;Železno;Železno;Železno;Železno;Železno;Železno;Železno;x
PROV640;Pecuh;Pecuh;Pecuh;Pecuh;Pecuh;Pecuh;Pecuh;Pecuh;Pecuh;Pecuh;Pecuh;Pecuh;Pecuh;x
PROV643;Stolni Biograd;Stolni Biograd;Stolni Biograd;Stolni Biograd;Stolni Biograd;Stolni Biograd;Stolni Biograd;Stolni Biograd;Stolni Biograd;Stolni Biograd;Stolni Biograd;Stolni Biograd;Stolni Biograd;x
PROV650;Békešská Caba;Békešská Caba;Békešská Caba;Békešská Caba;Békešská Caba;Békešská Caba;Békešská Caba;Békešská Caba;Békešská Caba;Békešská Caba;Békešská Caba;Békešská Caba;Békešská Caba;x
PROV654;Kluž;Kluž;Kluž;Kluž;Kluž;Kluž;Kluž;Kluž;Kluž;Kluž;Kluž;Kluž;Kluž;x
PROV702;Liov;Liov;Liov;Liov;Liov;Liov;Liov;Liov;Liov;Liov;Liov;Liov;Liov;x
PROV705;Peremisla;Peremisla;Peremisla;Peremisla;Peremisla;Peremisla;Peremisla;Peremisla;Peremisla;Peremisla;Peremisla;Peremisla;Peremisla;x
PROV712;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;x
PROV724;Gênes;Gênes;Gênes;Gênes;Gênes;Gênes;Gênes;Gênes;Gênes;Gênes;Gênes;Gênes;Gênes;x
PROV768;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;x
PROV778;Rijeka;Rijeka;Rijeka;Rijeka;Rijeka;Rijeka;Rijeka;Rijeka;Rijeka;Rijeka;Rijeka;Rijeka;Rijeka;x
PROV800;Olokénion;Olokénion;Olokénion;Olokénion;Olokénion;Olokénion;Olokénion;Olokénion;Olokénion;Olokénion;Olokénion;Olokénion;Olokénion;x
PROV815;Philipupoli;Philipupoli;Philipupoli;Philipupoli;Philipupoli;Philipupoli;Philipupoli;Philipupoli;Philipupoli;Philipupoli;Philipupoli;Philipupoli;Philipupoli;x
PROV958;Chiu;Chiu;Chiu;Chiu;Chiu;Chiu;Chiu;Chiu;Chiu;Chiu;Chiu;Chiu;Chiu;x
PROV964;Aqmescit;Aqmescit;Aqmescit;Aqmescit;Aqmescit;Aqmescit;Aqmescit;Aqmescit;Aqmescit;Aqmescit;Aqmescit;Aqmescit;Aqmescit;x
PROV967;Aqyar;Aqyar;Aqyar;Aqyar;Aqyar;Aqyar;Aqyar;Aqyar;Aqyar;Aqyar;Aqyar;Aqyar;Aqyar;x
PROV1036;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;x
PROV1039;Sarïsu;Sarïsu;Sarïsu;Sarïsu;Sarïsu;Sarïsu;Sarïsu;Sarïsu;Sarïsu;Sarïsu;Sarïsu;Sarïsu;Sarïsu;x
PROV1044;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;x
